Dataset 1,,Dataset 2,,Dataset 3,
X,Y,X,Y,X,Y
-0.6619182634411062,0.01014583541019261,-0.6619182634411062,0.00010618984196476895,-0.6619182634411062,0.000018663924448948284
-0.647598359781101,0.01035887692928787,-0.647598359781101,0.00010748490489216148,-0.647598359781101,0.000018793655195614605
-0.6332784561210958,0.01039481625334711,-0.6332784561210958,0.00010748490489216148,-0.6332784561210958,0.000018989944041105174
-0.6189585524610905,0.010558092493603503,-0.6189585524610905,0.00010748490489216148,-0.6189585524610905,0.00001922154032249952
-0.6046386488010854,0.010649907136508326,-0.6046386488010854,0.00010804475565471958,-0.6046386488010854,0.000019489682344980536
-0.5903187451410803,0.010798474191536452,-0.5903187451410803,0.00010748490489216148,-0.5903187451410803,0.00001918828300991997
-0.575998841481075,0.010987100874068925,-0.575998841481075,0.00010748490489216148,-0.575998841481075,0.00001918828300991997
-0.5616789378210698,0.011217807224608859,-0.5616789378210698,0.00010748490489216148,-0.5616789378210698,0.000019355146991607952
-0.5473590341610647,0.011374296531217009,-0.5473590341610647,0.0001084196085961035,-0.5473590341610647,0.000019355146991607952
-0.5330391305010596,0.01149309447185928,-0.5330391305010596,0.00010993207079412625,-0.5330391305010596,0.000019355146991607952
-0.5187192268410543,0.011877535557829867,-0.5187192268410543,0.00011165882524224708,-0.5187192268410543,0.00001952346204572229
-0.5043993231810492,0.01202239080655352,-0.5043993231810492,0.00011031347162973269,-0.5043993231810492,0.00001973876394586821
-0.49007941952104395,0.01221123212148826,-0.49007941952104395,0.00011012260609314346,-0.49007941952104395,0.000019557300293759025
-0.4757595158610388,0.012576063048937965,-0.4757595158610388,0.00011165882524224708,-0.4757595158610388,0.000019727373301145766
-0.4614396122010336,0.012597859999692883,-0.4614396122010336,0.00011165882524224708,-0.4614396122010336,0.000019727373301145766
-0.44711970854102845,0.012862388954005299,-0.44711970854102845,0.00011165882524224708,-0.44711970854102845,0.000019933414291551196
-0.4327998048810232,0.013223754741839948,-0.4327998048810232,0.00011165882524224708,-0.4327998048810232,0.000019727373301145766
-0.4184799012210181,0.013315671507849366,-0.4184799012210181,0.00011165882524224708,-0.4184799012210181,0.000019727373301145766
-0.40415999756101284,0.01347806587819671,-0.40415999756101284,0.00011165882524224708,-0.40415999756101284,0.00001979581590035286
-0.3898400939010077,0.013666085973520776,-0.3898400939010077,0.00011165882524224708,-0.3898400939010077,0.00001938869351440993
-0.37552019024100247,0.013856728964189394,-0.37552019024100247,0.00011165882524224708,-0.37552019024100247,0.000019355146991607952
-0.36120028658099734,0.014221381867580549,-0.36120028658099734,0.00011165882524224708,-0.36120028658099734,0.000019727373301145766
-0.3468803829209921,0.014369915965871298,-0.3468803829209921,0.00011165882524224708,-0.3468803829209921,0.000019727373301145766
-0.332560479260987,0.014620928241201564,-0.332560479260987,0.00011127277294400063,-0.332560479260987,0.00001952346204572229
-0.31824057560098173,0.01479924117376557,-0.31824057560098173,0.00010955198862427547,-0.31824057560098173,0.000019591197190565596
-0.3039206719409766,0.014927937436320085,-0.3039206719409766,0.00010785781547453078,-0.3039206719409766,0.00001885885833191435
-0.28960076828097137,0.015294272025753569,-0.28960076828097137,0.00010860752248141387,-0.28960076828097137,0.000019455961090234614
-0.27528086462096624,0.015507628341873542,-0.27528086462096624,0.00010917322056098903,-0.27528086462096624,0.000019355146991607952
-0.260960960960961,0.01553450630916568,-0.260960960960961,0.00010748490489216148,-0.260960960960961,0.00001842308814059085
-0.24664105730095587,0.015998625596053456,-0.24664105730095587,0.00010748490489216148,-0.24664105730095587,0.00001932165851135487
-0.23232115364095063,0.016193740557290122,-0.23232115364095063,0.00010748490489216148,-0.23232115364095063,0.000019088855927039437
-0.2180012499809455,0.016448103213583372,-0.2180012499809455,0.00010748490489216148,-0.2180012499809455,0.000018248452247084137
-0.20368134632094026,0.016735417058863628,-0.20368134632094026,0.00010606731942355175,-0.20368134632094026,0.000018599395282425294
-0.18936144266093513,0.01693951773183174,-0.18936144266093513,0.00010346700992610654,-0.18936144266093513,0.00001793516259513931
-0.17504153900093,0.017355216906614842,-0.17504153900093,0.00010275278736996528,-0.17504153900093,0.00001793516259513931
-0.16072163534092476,0.017688981788027427,-0.16072163534092476,0.00010169068703095815,-0.16072163534092476,0.000017627251503780746
-0.14640173168091963,0.018280673728344618,-0.14640173168091963,0.00010346700992610654,-0.14640173168091963,0.00001781135793815102
-0.1320818280209144,0.018535690586701997,-0.1320818280209144,0.00010239752705239216,-0.1320818280209144,0.000017749776458568057
-0.11776192436090926,0.01892490167878256,-0.11776192436090926,0.00010169068703095815,-0.11776192436090926,0.000017627251503780746
