GeV,Pms1_s001,Pms1_s000,Pms2_s001,Pms2_s000
4623.446893787575,0.07898162187970044,0.08023087028511292,0.3810165130508826,0.6684424564886203
4643.2865731462925,0.08059198702665614,0.08186990524613932,0.3795825492292924,0.6659608679122736
4663.126252505011,0.0821718434743253,0.08347550434630531,0.37794711855577917,0.6631417136332304
4682.965931863728,0.08372072805752863,0.08504747747482783,0.3761176621573686,0.6599981480786199
4702.805611222445,0.0852382544991307,0.08658944188196892,0.3741018073654125,0.6565522344308358
4722.645290581163,0.08672407707432454,0.08809307039142876,0.37190706057909606,0.6527978169795241
4742.48496993988,0.08817790979291404,0.08956227647908102,0.36954098205981945,0.6487574314741383
4762.324649298597,0.08959951789451087,0.09099690177251601,0.36701111800664327,0.6444438271106506
4782.164328657315,0.09098871508378234,0.09239683825102303,0.36432498348953785,0.639869677435598
4802.0040080160325,0.09234536089505224,0.09376202545095812,0.361490046607814,0.6350475551448636
4821.84368737475,0.09338989814344272,0.09509244742370769,0.35770633673642765,0.6299899088580216
4841.683366733468,0.09077582335579017,0.09169661147421737,0.36011594013621373,0.6284028454203566
4861.523046092185,0.09206513241992939,0.09299678063955658,0.35703592909726184,0.6231907124807962
4881.362725450902,0.09332822688854352,0.09426292148270833,0.3538216452286355,0.617773273954618
4901.20240480962,0.09455906393647372,0.09549512782787759,0.35049096595475676,0.612162138843901
4921.042084168337,0.09575769203538924,0.09669352787572875,0.34705071615965466,0.6063687195823572
4940.881763527054,0.09875797575723734,0.09785828133494508,0.3401949777832964,0.6004042190420521
4960.721442885772,0.09987522530749353,0.09763137290626389,0.33649301528062986,0.5941103861801879
4980.5611222444895,0.10096024199065547,0.09868590282117351,0.3327004258528229,0.5881239292056399
5000.400801603207,0.1020131684041902,0.09970936656798093,0.3288237644296057,0.5820036604678517
5020.240480961924,0.10303417397209062,0.10070200820806538,0.3248694448578118,0.5757594562658145
5040.080160320642,0.10402345354277559,0.1016640930490524,0.32084373500528196,0.5694009370242321
5059.919839679359,0.10498122064761965,0.10259590605386933,0.3167527314186738,0.5629374624393668
5079.759519038076,0.10590772600190973,0.10353327824807187,0.31260244140503507,0.5563270541912066
5099.599198396794,0.10679525810425042,0.10445734356702804,0.3084182544820997,0.5495972293817195
5119.438877755511,0.10766639000298553,0.1053507989462249,0.30415691508875947,0.5427804207417624
5139.2785571142285,0.10854028407337574,0.1062139761850273,0.2997653427648651,0.5358852500364075
5159.118236472947,0.10938249926055887,0.107047221811023,0.29533276701976335,0.5289200725183854
5178.957915831664,0.10917768734995317,0.10785089569699483,0.2939552765635753,0.5218929764430976
5198.797595190381,0.1099968579134169,0.10862536984934369,0.2894723257741499,0.5148117831030433
5218.637274549099,0.1107848104532961,0.10937102726052357,0.2849599575841106,0.5076840474817126
5238.476953907816,0.11154191029659512,0.11008283269282705,0.280423111674367,0.50053058452864
5258.316633266533,0.11226853723460117,0.11081496604553466,0.2758665586005408,0.49323307405581013
5278.156312625251,0.11296508437850865,0.11151823536095867,0.2712949000495044,0.4859043764008757
5297.995991983968,0.11363195706555637,0.11219304909671562,0.26671256941333327,0.4785512899818132
5317.835671342686,0.11426957181282457,0.11283982341351535,0.26212383265638567,0.47118035589151275
5337.675350701404,0.11487835531597486,0.11345898126531472,0.2575327894527358,0.4637978607495606
5357.515030060121,0.11545874349034203,0.11405095153924104,0.25294337457263394,0.4564098399161812
5377.354709418838,0.11601118110546997,0.11461616824320901,0.24835935325286893,0.4490220810332935
5397.194388777555,0.1165361457809245,0.11515506973920366,0.243784215690135,0.4416401278595384
5417.034068136273,0.11703416265099122,0.11566681244335753,0.23922106675691437,0.43426812188514136
